IDOrder,Status,OrderedDate,ConfirmDate,DeliveryDate,DeliveredDate,TotalMoney,TotalAmount,IDMember,Address,PhoneNumber,Email,FullName,Notes,IDZipCode,IDShipper
11,4,2019-06-27 23:22:00,2019-06-28 02:38:00,2019-06-28 18:15:00,2019-06-29 19:28:00,10840000,3,355,"Phường Nghĩa Chánh, TP. Quảng Ngãi, Quảng Ngãi",0984429047,buidangtuyen1994@gmail.com,Huỳnh Bá Trà Giang,Giao nhanh nha anh !,726,6
12,4,2018-06-24 16:58:00,2018-06-24 17:19:00,2018-06-25 01:42:00,2018-06-27 04:10:00,4100000,1,87,"Caerphilly [Caerffili GB-CAF], South Abaco, Sector 3",0984429047,uyendnt@unigroup.com.vn,Tô Văn Sáu,Giao nhanh nha anh !,1216,8
13,4,2018-10-12 02:00:00,2018-10-12 05:19:00,2018-10-13 00:24:00,2018-10-14 11:54:00,1418000,1,26,"Coyah, Fujian, Guayaquil",0984429047,luatsutuan@vnn.vn,Trịnh Chu Khánh Nhiên,Giao nhanh nha anh !,1428,1
14,4,2019-05-28 08:28:00,2019-05-28 08:35:00,2019-05-28 23:21:00,2019-05-31 09:11:00,12049500,2,19,"Birmingham, Cibitoke, Piraeus",0984429047,info@datbinhduongvn.vn,Nguyễn Việt Hùng,Giao nhanh nha anh !,1130,4
15,4,2019-05-30 00:18:00,2019-05-30 01:40:00,2019-05-30 09:28:00,2019-06-01 03:35:00,8957000,2,385,"Cher, Gourma, Tirana",0984429047,phanthilieu888@gmail.com, Petter Erik Nyvoll,Giao nhanh nha anh !,1064,4
16,4,2019-03-09 18:15:00,2019-03-09 22:41:00,2019-03-10 06:24:00,2019-03-12 03:28:00,17236000,3,175,"Phường 06, Quận Tân Bình, Hồ Chí Minh",0984429047,nguyenanhhoang999@yahoo.com.vn, Nguyễn Minh Hùng,Giao nhanh nha anh !,166,3
17,4,2019-02-09 13:36:00,2019-02-09 17:32:00,2019-02-10 04:58:00,2019-02-11 02:59:00,12338000,4,125,"Brent, Brunei-Muara, Utrecht",0984429047,info@diaocbinhduong.com.vn,Phạm Từ Thiện,Giao nhanh nha anh !,1198,8
18,4,2018-04-06 16:56:00,2018-04-06 17:22:00,2018-04-07 04:04:00,2018-04-08 08:00:00,10998000,3,233,"Somme, Karuzi, Agios Dimitrios",0984429047,hungtran.1973@yahoo.com,Hoàng Thị Út Khánh,Giao nhanh nha anh !,1132,3
19,4,2019-01-08 06:52:00,2019-01-08 11:24:00,2019-01-09 03:59:00,2019-01-10 11:20:00,6234500,2,439,"Saint Andrew, Helmand, Ebebiyin",0984429047,huyle.vpa@gmail.com, Trần Ngọc Toàn,Giao nhanh nha anh !,814,6
20,4,2019-11-29 05:17:00,2019-11-29 06:11:00,2019-11-29 12:51:00,2019-12-01 21:43:00,9699000,3,282,"Xã Tân Hòa, TP. Vĩnh Long, Vĩnh Long",0984429047,minhtran@hsbc.com.vn,Phạm Phú Thi,Giao nhanh nha anh !,748,6
21,4,2018-07-05 13:18:00,2018-07-05 16:41:00,2018-07-06 06:32:00,2018-07-08 00:40:00,10258000,4,509,"Wolverhampton, Z rich (de), Gustavia",0984429047,habui1202@gmail.com,Nguyễn Trí Văn,Giao nhanh nha anh !,1377,9
22,4,2018-08-12 19:32:00,2018-08-12 22:04:00,2018-08-13 15:50:00,2018-08-14 19:30:00,9519000,2,277,"Xã Hiệp Hòa, TP. Biên Hòa, Đồng Nai",0984429047,toan_thinhphat@yahoo.com, Đinh Thị Lai,Giao nhanh nha anh !,572,9
23,4,2019-07-27 14:16:00,2019-07-27 14:42:00,2019-07-28 07:09:00,2019-07-29 14:44:00,6770500,2,297,"Tlemcen, Kwanza Sul, Torba",0984429047,cuong_tran_2005@yahoo.com.vn,Lê Thanh Tuấn,Giao nhanh nha anh !,853,7
24,4,2019-04-25 05:59:00,2019-04-25 06:20:00,2019-04-25 14:25:00,2019-04-27 03:24:00,1640000,1,360,"Ni vre, Sofia (stolitsa), Saint Sampson",0984429047,nguyenhthuy297@gmail.com,Nguyễn Hồng Thái,Giao nhanh nha anh !,1135,3
25,4,2018-09-23 09:25:00,2018-09-23 13:36:00,2018-09-23 23:20:00,2018-09-24 21:07:00,17596000,4,176,"Xã Mỹ Tân, TP. Cao Lãnh, Đồng Tháp",0984429047,trongmh@unigroup.com.vn,Nguyễn Thị Thu,Giao nhanh nha anh !,653,1
26,4,2019-05-26 17:38:00,2019-05-26 21:30:00,2019-05-27 04:15:00,2019-05-28 13:47:00,11685000,3,166,"Xã An Thới Đông, Huyện Cần Giờ, Hồ Chí Minh",0984429047,luutri@nghenang.com.vn,Phạm Đình Dũng,Giao nhanh nha anh !,317,6
27,4,2018-06-28 00:38:00,2018-06-28 04:29:00,2018-06-28 14:54:00,2018-07-01 01:57:00,5280000,1,293,"Phường Giảng Võ, Quận Ba Đình, Hà Nội",0984429047,minhviet.2005@yahoo.com.vn,Nguyễn Hữu Tuyến,Giao nhanh nha anh !,485,8
28,4,2019-08-10 04:05:00,2019-08-10 05:15:00,2019-08-10 19:50:00,2019-08-12 14:27:00,16418000,4,24,"Thị trấn Cái Bè, Huyện Cái Bè, Tiền Giang",0984429047,trungnt@unigroup.com.vn,Nguyễn Thị Niềm,Giao nhanh nha anh !,742,7
29,4,2019-11-23 05:47:00,2019-11-23 05:56:00,2019-11-23 16:32:00,2019-11-24 15:32:00,15153000,4,172,"Intibuc , Sachsen-Anhalt, Norsup",0984429047,quocphu@dntbinhduong.vn,Trương Thanh Vương,Giao nhanh nha anh !,1545,1
30,4,2019-12-31 11:01:00,2019-12-31 15:20:00,2020-01-01 06:51:00,2020-01-03 06:23:00,8520000,2,317,"Saint Mark, Badakhshan, Port Said",0984429047,thanhhadaiminhphuoc@yahoo.com.vn,Thái Viết Nhật,Giao nhanh nha anh !,810,6
31,4,2018-05-26 15:14:00,2018-05-26 19:13:00,2018-05-27 11:08:00,2018-05-28 20:27:00,2836000,2,478,"Nordrhein-Westfalen, Canillo, Porto-Novo",0984429047,thanhdanpt700@gmail.com,Trương Minh Đức,Giao nhanh nha anh !,769,3
32,4,2018-12-19 18:13:00,2018-12-19 22:44:00,2018-12-20 06:46:00,2018-12-21 04:18:00,6860000,3,183,"Phường Phú Thuận, Quận 7, Hồ Chí Minh",0984429047,thanh.nguyenduy@yeobd.com,Trần Anh Nhật,Giao nhanh nha anh !,82,6
33,4,2019-01-03 03:07:00,2019-01-03 03:16:00,2019-01-03 20:37:00,2019-01-05 00:17:00,7251500,3,350,"Phường Long Trường, Quận 9, Hồ Chí Minh",0984429047,quocminh211@gmail.com, Lê Thị Xuân,Giao nhanh nha anh !,110,2
34,4,2018-02-28 06:27:00,2018-02-28 09:06:00,2018-03-01 01:43:00,2018-03-02 10:17:00,7909000,1,293,"Moyen-Ogoou_, Hope Town, Kumanovo",0984429047,minhviet.2005@yahoo.com.vn,Nguyễn Hữu Tuyến,Giao nhanh nha anh !,1201,8
35,4,2018-03-02 22:17:00,2018-03-03 03:11:00,2018-03-03 13:49:00,2018-03-05 22:41:00,9400000,2,319,"Phường Khương Mai, Quận Thanh Xuân, Hà Nội",0984429047,hoa.nguyen@sni.com.vn,Phan Trung Hiếu,Giao nhanh nha anh !,326,7
36,4,2018-11-21 19:09:00,2018-11-21 22:45:00,2018-11-22 12:58:00,2018-11-24 04:24:00,6079000,2,415,"Not o Aiga o, Ribeira Grande, Wellington",0984429047,huynhchau5987@yahoo.com,Cao Chí Dũng,Giao nhanh nha anh !,1507,5
37,4,2019-09-30 23:29:00,2019-10-01 04:05:00,2019-10-01 21:05:00,2019-10-03 16:11:00,8694000,4,303,"Gaoual, Ningxia, Ciudad del Este",0984429047,info@anova.com.vn,Nguyễn Thanh Hải,Giao nhanh nha anh !,1441,5
38,4,2018-03-19 00:01:00,2018-03-19 01:48:00,2018-03-19 15:47:00,2018-03-21 15:04:00,7909000,1,325,"Pontevedra  [Pontevedra], Chittagong, Aleppo",0984429047,tanhung333@gmail.com, Trần Thị Bích Liên,Giao nhanh nha anh !,1028,7
39,4,2019-03-26 15:05:00,2019-03-26 17:17:00,2019-03-27 00:32:00,2019-03-28 07:08:00,3802500,1,475,"Bracknell Forest, Kayanza, Luimneach",0984429047,thuyduong231995@gmail.com,Nguyễn Thị Thùy Trang,Giao nhanh nha anh !,1147,8
40,4,2018-04-28 22:05:00,2018-04-28 23:16:00,2018-04-29 10:11:00,2018-05-01 18:17:00,5918000,4,92,"Phường Việt Hưng, Quận Long Biên, Hà Nội",0984429047,hongdaithienloc@gmail.com,Huỳnh Tấn Huy,Giao nhanh nha anh !,366,3
41,4,2018-05-13 07:00:00,2018-05-13 10:49:00,2018-05-13 17:03:00,2018-05-14 16:18:00,4309500,1,387,"Phường Hoà Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",0984429047,truong.thaoly1988@gmail.com, Lê Tấn Tài,Giao nhanh nha anh !,603,5
42,4,2018-02-19 01:57:00,2018-02-19 02:50:00,2018-02-19 22:00:00,2018-02-20 23:11:00,3240000,1,160,"Ogoou_-Maritime, Sliven, Hamburg",0984429047,cuongkhoannhoi@gmail.com,Nguyễn Thành Thịnh,Giao nhanh nha anh !,1125,8
43,4,2019-06-20 03:07:00,2019-06-20 05:17:00,2019-06-20 15:00:00,2019-06-22 08:10:00,15640020,4,472,"Estuaire, Temburong, Dainava",0984429047,lucky_day_18@yahoo.com,Trương Thị Thanh Thũy,Giao nhanh nha anh !,1174,8
44,4,2019-09-14 17:49:00,2019-09-14 20:25:00,2019-09-15 08:15:00,2019-09-17 08:03:00,1610000,1,316,"Swindon, Kouilou, Petapa",0984429047,thanhlam61@gmail.com,Võ Đức Tài,Giao nhanh nha anh !,1341,5
45,4,2020-03-01 13:34:00,2020-03-01 14:33:00,2020-03-02 04:35:00,2020-03-04 07:04:00,18654000,4,74,"Phường Phúc Tân, Quận Hoàn Kiếm, Hà Nội",0984429047,manager@vhpottery.com,Trần Văn Dũng,Giao nhanh nha anh !,397,4
46,4,2019-06-02 06:18:00,2019-06-02 10:41:00,2019-06-02 19:52:00,2019-06-05 03:30:00,21218000,3,21,"Ngouni_, Shumen, Szeged",0984429047,,Phạm Bá Sỹ,Giao nhanh nha anh !,1140,8
47,4,2019-05-01 00:34:00,2019-05-01 01:33:00,2019-05-01 15:53:00,2019-05-02 17:51:00,5858000,2,136,"Xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh",0984429047,hanphungle@gmail.com, Nguyễn Minh Hoàng,Giao nhanh nha anh !,270,2
48,4,2019-01-03 03:07:00,2019-01-03 03:16:00,2019-01-03 20:37:00,2019-01-05 00:17:00,6258000,2,364,"Phường 06, Quận 4, Hồ Chí Minh",0984429047,dbloan33@gmail.com,Nguyễn Thị Hồng Hiên,Giao nhanh nha anh !,41,6
49,4,2018-08-02 17:17:00,2018-08-02 21:41:00,2018-08-03 08:10:00,2018-08-04 14:17:00,7920000,4,24,"Leeds, Berry Islands, Dorp Tera Kora",0984429047,trungnt@unigroup.com.vn,Nguyễn Thị Niềm,Giao nhanh nha anh !,1291,5
50,4,2018-12-13 23:38:00,2018-12-14 04:30:00,2018-12-14 21:17:00,2018-12-16 06:50:00,2929000,1,420,"Phường 06, Quận 11, Hồ Chí Minh",0984429047,tranmaitrinh81@gmail.com,Hoàng Đức,Giao nhanh nha anh !,139,2
51,4,2019-02-12 01:11:00,2019-02-12 02:44:00,2019-02-12 18:01:00,2019-02-14 06:30:00,14389000,3,155,"Sa da, Lerik, Surabaya",0984429047,tien.luong@becamexijc.com,Trương Nguyễn Kim Hoàng,Giao nhanh nha anh !,927,3
52,4,2019-04-04 01:29:00,2019-04-04 05:34:00,2019-04-04 13:05:00,2019-04-06 07:57:00,18747000,3,160,"Thái Mỹ, Huyện Củ Chi, Hồ Chí Minh",0984429047,cuongkhoannhoi@gmail.com,Nguyễn Thành Thịnh,Giao nhanh nha anh !,285,7
53,4,2019-10-02 15:19:00,2019-10-02 17:10:00,2019-10-03 04:11:00,2019-10-04 08:35:00,10560000,2,236,"Gu_k_dou, Maule, Lima",0984429047,vu.tq@vsip.com.vn,Lưu Việt Dũng,Giao nhanh nha anh !,1445,1
54,4,2018-07-30 06:22:00,2018-07-30 08:38:00,2018-07-31 03:55:00,2018-08-02 06:38:00,1418000,1,16,"Manchester, Central, Belmopan",0984429047,nguyen.phan@asdgroup.vn,Vũ Thị Bích,Giao nhanh nha anh !,1286,4
55,4,2018-05-09 00:20:00,2018-05-09 00:39:00,2018-05-09 18:51:00,2018-05-12 00:31:00,8429000,2,455,"Chlef, Mendoza, Irbid",0984429047,hoanguyen0601@gmail.com,Bùi Quang Vũ,Giao nhanh nha anh !,873,3
56,4,2019-05-02 19:39:00,2019-05-02 20:31:00,2019-05-03 08:02:00,2019-05-05 18:06:00,14458000,4,393,"Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh",0984429047,nam.hvtc28@gmail.com,Lê Ly Na,Giao nhanh nha anh !,271,7
57,4,2019-12-29 19:11:00,2019-12-29 21:15:00,2019-12-30 04:45:00,2019-12-31 04:00:00,11178500,3,269,"Phường 02, Quận 6, Hồ Chí Minh",0984429047,kypt@sacombank.com,Huỳnh Thanh Tuấn,Giao nhanh nha anh !,67,6
58,4,2018-12-03 16:28:00,2018-12-03 19:06:00,2018-12-04 14:47:00,2018-12-05 21:53:00,6480000,2,347,"Ceuta, Noakhali, Bawshar",0984429047,baibang89@gmail.com, Nguyễn Thế Ân,Giao nhanh nha anh !,997,8
59,4,2020-03-03 05:24:00,2020-03-03 07:38:00,2020-03-03 15:41:00,2020-03-05 03:27:00,23727000,3,402,"Xã Phước Sang, Huyện Phú Giáo, Bình Dương",0984429047,trandainghia250883@gmail.com,Nguyễn Lê Thảo Phương,Giao nhanh nha anh !,540,1
60,4,2019-12-01 20:07:00,2019-12-01 21:16:00,2019-12-02 10:57:00,2019-12-04 04:06:00,17698000,2,374,"Xã Mường Lai, Huyện Lục Yên, Yên Bái",0984429047,hanh.ib1010@gmail.com,Phạm Văn Nan,Giao nhanh nha anh !,752,5
61,4,2019-05-25 20:53:00,2019-05-25 23:23:00,2019-05-26 09:18:00,2019-05-28 04:40:00,19038000,4,151,"Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội",0984429047,vanphuong.le@gmail.com,Võ Văn Dần,Giao nhanh nha anh !,384,4
62,4,2019-08-19 10:35:00,2019-08-19 14:32:00,2019-08-20 01:34:00,2019-08-22 02:34:00,19098000,4,19,"Carmarthenshire [Sir Gaerfyrddin GB-GFY], Ragged Island, Novosibirsk",0984429047,info@datbinhduongvn.vn,Nguyễn Việt Hùng,Giao nhanh nha anh !,1221,8
63,4,2019-05-29 04:33:00,2019-05-29 05:33:00,2019-05-29 17:31:00,2019-05-31 22:27:00,2630000,1,431,"Lot-et-Garonne, Silistra, Volos",0984429047,minhxuyen88@gmail.com,Lương Thị Lựu,Giao nhanh nha anh !,1131,7
64,4,2020-02-17 00:24:00,2020-02-17 01:07:00,2020-02-17 16:39:00,2020-02-19 04:10:00,4700000,2,153,"Monte Plata, Tucum n, Arkhabil Suqutr",0984429047,thuylv@oceanbank.vn,Lê Thị Oanh,Giao nhanh nha anh !,833,1
65,4,2020-02-06 22:10:00,2020-02-07 00:44:00,2020-02-07 08:59:00,2020-02-08 23:57:00,11978000,3,54,"Imbabura, Astara, Ejmiatsin",0984429047,sales@hoasencorp.com,Trần Nghiệm,Giao nhanh nha anh !,882,2
66,4,2019-11-28 10:12:00,2019-11-28 14:13:00,2019-11-28 22:42:00,2019-11-29 21:27:00,7909000,1,200,"Baja Verapaz, C rdoba, Tarawa",0984429047,hairdungsaigon@gmail.com,Lê Phước Á,Giao nhanh nha anh !,1486,6
67,4,2019-08-02 13:46:00,2019-08-02 13:56:00,2019-08-03 01:26:00,2019-08-04 02:53:00,8225500,2,229,"Xã Hưng Lộc, Huyện Thống Nhất, Đồng Nai",0984429047,tttthao@vietinbank.vn,Trần Duy Trung,Giao nhanh nha anh !,587,4
68,4,2019-04-18 11:24:00,2019-04-18 12:07:00,2019-04-19 04:57:00,2019-04-21 04:57:00,10267000,2,235,"Pohjois-Savo, Oost-Vlaanderen, Abu Dhabi",0984429047,nguyenviethong@yahoo.com,Nguyễn Quốc Khánh,Giao nhanh nha anh !,1053,4
69,4,2018-08-01 22:12:00,2018-08-02 01:43:00,2018-08-02 14:01:00,2018-08-04 01:01:00,11465500,3,354,"Stirling, Savanes, Iztapalapa",0984429047,nhansudaithang@gmail.com,Văn Bá Công,Giao nhanh nha anh !,1359,5
70,4,2019-10-31 11:08:00,2019-10-31 14:15:00,2019-11-01 05:55:00,2019-11-02 22:35:00,12759500,3,77,"Dinguiraye, Shanghai, Stanley",0984429047,ngocvd-realty@unigroup.com,Nguyễn Quang Tòa,Giao nhanh nha anh !,1432,2
71,4,2018-08-05 05:52:00,2018-08-05 06:52:00,2018-08-05 21:12:00,2018-08-07 17:47:00,8281000,2,219,"Norfolk, British Columbia, Edmonton",0984429047,info@tranhoanggia.com.vn,Nguyễn Văn Trung Nhật,Giao nhanh nha anh !,1297,4
72,4,2019-03-27 05:15:00,2019-03-27 09:13:00,2019-03-28 00:50:00,2019-03-30 11:39:00,5560000,2,394,"J_rvamaa, Sumqayit, Haifa",0984429047,bichvuongkt@yahoo.com.vn,Nguyễn Bá Hải,Giao nhanh nha anh !,941,2
73,4,2018-10-24 18:24:00,2018-10-24 20:37:00,2018-10-25 04:22:00,2018-10-26 02:39:00,1638000,1,294,"Kommune Qeqertalik, Antioquia, Brokopondo",0984429047,bimico@binhduong.com.vn,Hoàng Phương Minh,Giao nhanh nha anh !,1451,9
74,4,2020-01-23 07:20:00,2020-01-23 09:10:00,2020-01-23 19:17:00,2020-01-24 22:13:00,15818000,2,377,"Batna, Santiago del Estero, Gauteng",0984429047,lethimyhanh1995@gmail.com,Nguyễn Đình Hiếu,Giao nhanh nha anh !,855,6
75,4,2018-04-19 10:00:00,2018-04-19 10:49:00,2018-04-19 21:49:00,2018-04-21 22:35:00,4225000,1,391,"Phước Vĩnh An, Huyện Củ Chi, Hồ Chí Minh",0984429047,mytrinh2205@gmail.com, Trương Lê Trọng Quí,Giao nhanh nha anh !,279,7
76,4,2018-10-28 02:04:00,2018-10-28 02:47:00,2018-10-28 12:34:00,2018-10-29 19:25:00,5858000,2,175,"Nz_r_kor_, Guangdong, Maracay",0984429047,nguyenanhhoang999@yahoo.com.vn, Nguyễn Minh Hùng,Giao nhanh nha anh !,1459,9
77,4,2019-06-13 08:32:00,2019-06-13 11:03:00,2019-06-14 04:31:00,2019-06-16 08:42:00,4474000,3,497,"Xã Phú Đô, Quận Nam Từ Liêm, Hà Nội",0984429047,vuthuhang1811@gmail.com,Nguyễn Thị Hải,Giao nhanh nha anh !,352,9
78,4,2018-09-01 08:11:00,2018-09-01 10:44:00,2018-09-01 22:03:00,2018-09-03 10:33:00,7040000,2,307,"Rochdale, Sud-Ubangi, Choloma",0984429047,chauan.electric@chauan.vn,Nguyễn Chí Thanh,Giao nhanh nha anh !,1348,1
79,4,2018-08-21 05:56:00,2018-08-21 09:21:00,2018-08-22 02:23:00,2018-08-23 18:19:00,9126000,2,429,"Saint Patrick, Liaoning, Mon Repos",0984429047,tr_hang@stvn.vn,Bùi Huy Phương,Giao nhanh nha anh !,1397,5
80,4,2019-07-12 04:21:00,2019-07-12 09:09:00,2019-07-12 16:16:00,2019-07-13 17:43:00,6029500,2,361,"Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",0984429047,khoinguonsangtaovn@gmail.com,Lê Văn Chung,Giao nhanh nha anh !,409,3
81,4,2018-09-30 03:00:00,2018-09-30 07:49:00,2018-09-30 23:47:00,2018-10-03 00:33:00,5858000,2,372,"Phường Lê Lợi, TP. Kon Tum, Kon Tum",0984429047,vuninh7292@gmail.com,Nguyễn Thị Thu Trang,Giao nhanh nha anh !,666,5
82,4,2020-01-23 12:15:00,2020-01-23 14:11:00,2020-01-24 04:07:00,2020-01-25 12:57:00,7040000,2,160,"Licko-senjska _upanija, Jihomoravsk_ kraj, Apia",0984429047,cuongkhoannhoi@gmail.com,Nguyễn Thành Thịnh,Giao nhanh nha anh !,1523,5
83,4,2019-03-31 17:50:00,2019-03-31 19:25:00,2019-04-01 14:53:00,2019-04-03 00:10:00,16866000,3,42,"AI Gharbiyah, Naftalan, Zarqa",0984429047,quanghiep@mifaco.com.vn,Lê Minh Hải,Giao nhanh nha anh !,947,2
84,4,2018-06-18 16:28:00,2018-06-18 17:04:00,2018-06-19 06:23:00,2018-06-21 14:59:00,13767000,3,230,"Phường Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội",0984429047,quynhchau_vsb@yahoo.com,Doãn Ngọc Chấn,Giao nhanh nha anh !,396,3
85,4,2019-06-02 11:13:00,2019-06-02 15:43:00,2019-06-03 03:43:00,2019-06-04 01:14:00,1418000,1,64,"Tarn, Ash Shamaliyah, Miskolc",0984429047,pdl@pdlpottery.com,Trương Quang,Giao nhanh nha anh !,1139,3
86,4,2019-02-03 15:46:00,2019-02-03 20:26:00,2019-02-04 11:27:00,2019-02-05 11:40:00,12156000,4,409,"B_ja a, Ciudad Aut noma de Buenos Aires, Midlands",0984429047,dangkhoa.hua@gmail.com,Tô Thị Minh Hải,Giao nhanh nha anh !,841,6
87,4,2018-05-30 04:49:00,2018-05-30 06:24:00,2018-05-31 02:10:00,2018-06-02 01:57:00,15231000,4,10,"Phường Ngọc Lâm, Quận Long Biên, Hà Nội",0984429047,haipro@gmail.com,Nguyễn Minh Hải,Giao nhanh nha anh !,359,8
88,4,2018-07-30 06:22:00,2018-07-30 08:38:00,2018-07-31 03:55:00,2018-08-02 06:38:00,8489000,3,506,"Manchester, Central, Belmopan",0984429047,thoank@clevercfo.com, Đỗ Đoàn Thiên,Giao nhanh nha anh !,1286,4
89,4,2019-07-01 07:02:00,2019-07-01 08:48:00,2019-07-02 01:27:00,2019-07-03 11:14:00,9971000,2,75,"Charente, Al Janubiyah, Munich",0984429047,demo@demo.com, Trần Xiuân Phái,Giao nhanh nha anh !,1126,9
90,4,2019-11-11 13:22:00,2019-11-11 14:37:00,2019-11-12 00:34:00,2019-11-13 13:47:00,10560000,2,492,"Birmingham, Cibitoke, Piraeus",0984429047,co_be_ko_tim@yahoo.com.vn,Lý Trầm Anh Duy,Giao nhanh nha anh !,1130,6
91,4,2019-10-08 15:49:00,2019-10-08 16:25:00,2019-10-08 22:29:00,2019-10-09 19:45:00,3276000,2,293,"Central, Montagnes, Saint-Pierre",0984429047,minhviet.2005@yahoo.com.vn,Nguyễn Hữu Tuyến,Giao nhanh nha anh !,1387,5
92,4,2018-02-06 07:53:00,2018-02-06 09:23:00,2018-02-07 04:14:00,2018-02-08 23:35:00,1610000,1,243,"La Rioja, Kishoreganj, Singapore",0984429047,contact@keoviet.com,Nguyễn Văn Ký,Giao nhanh nha anh !,1019,3
93,4,2020-02-01 18:45:00,2020-02-01 22:28:00,2020-02-02 08:51:00,2020-02-03 23:03:00,6258000,2,364,"Pomeroon-Supenaam, Brava, Savave Village",0984429047,dbloan33@gmail.com,Nguyễn Thị Hồng Hiên,Giao nhanh nha anh !,1541,6
94,4,2018-04-27 20:25:00,2018-04-27 22:08:00,2018-04-28 09:24:00,2018-04-29 06:26:00,9316000,4,480,"Estuaire, Temburong, Dainava",0984429047,doanvanphudhcl@gmail.com,Nguyễn Xuân Khương,Giao nhanh nha anh !,1174,3
95,4,2018-06-27 22:58:00,2018-06-28 01:21:00,2018-06-28 12:07:00,2018-06-29 13:06:00,11117000,4,321,"Phường 02, Quận 8, Hồ Chí Minh",0984429047,ngqduan@gmail.com,Trần Xuân Tỉnh,Giao nhanh nha anh !,91,2
96,4,2018-08-04 04:12:00,2018-08-04 05:44:00,2018-08-04 20:25:00,2018-08-06 20:56:00,9547000,2,358,"Atl ntida, Lemesos, Canala",0984429047,photocopyanthinh@gmail.com,Trần Tiến Huy,Giao nhanh nha anh !,1504,5
97,4,2020-01-02 03:51:00,2020-01-02 04:24:00,2020-01-02 12:56:00,2020-01-03 21:46:00,17428000,3,498,"Phường 09, Quận 6, Hồ Chí Minh",0984429047,tran780@yahoo.com.vn,Lê Hà Tuấn,Giao nhanh nha anh !,74,1
98,4,2018-06-21 03:23:00,2018-06-21 06:08:00,2018-06-22 00:40:00,2018-06-23 12:40:00,12158000,4,491,"Kensington and Chelsea, Nord-Kivu, Bridgetown",0984429047,tranxuanmai88@gmail.com.ec,Nguyễn Thị Hồng Cẩm,Giao nhanh nha anh !,1279,8
